LocationID,borough,zone,longitud,latitud
49,Brooklyn,Clinton Hill,-73.9623635381836,40.687967457147465
50,Manhattan,Clinton West,-73.99513522075517,40.76623772504186
51,Bronx,Co-Op City,-73.82826367307186,40.87397305492024
52,Brooklyn,Cobble Hill,-73.99672403175194,40.68665124165605
53,Queens,College Point,-73.84281349543204,40.780912355791266
54,Brooklyn,Columbia Street,-74.00291127745284,40.68720074733727
55,Brooklyn,Coney Island,-73.98794343407197,40.57696075363783
56,Queens,Corona,-73.85884524943998,40.74140677482976
56,Queens,Corona,-73.85358156034266,40.751819366999456
58,Bronx,Country Club,-73.82039319252786,40.84145210068253
59,Bronx,Crotona Park,-73.89498588493974,40.83855028852789
60,Bronx,Crotona Park East,-73.88590003419152,40.83399047727385
61,Brooklyn,Crown Heights North,-73.93928705867957,40.674469418266476
62,Brooklyn,Crown Heights South,-73.94878853931499,40.66654040578564
63,Brooklyn,Cypress Hills,-73.87817261050249,40.68383976195103
64,Queens,Douglaston,-73.73933714992869,40.76061560532155
65,Brooklyn,Downtown Brooklyn/MetroTech,-73.98608600498395,40.695337529461135
66,Brooklyn,DUMBO/Vinegar Hill,-73.98570161582288,40.7022589388225
67,Brooklyn,Dyker Heights,-74.01380148744008,40.619619467835136
68,Manhattan,East Chelsea,-73.99991742024712,40.74842755506572
69,Bronx,East Concourse/Concourse Village,-73.91502929553268,40.831416697085196
70,Queens,East Elmhurst,-73.86839559842018,40.763352201133145
71,Brooklyn,East Flatbush/Farragut,-73.93796627061694,40.64428817438921
72,Brooklyn,East Flatbush/Remsen Village,-73.92225097400495,40.65236480407742
73,Queens,East Flushing,-73.80729418212229,40.75410888689297
74,Manhattan,East Harlem North,-73.93734560812497,40.801169480586516
75,Manhattan,East Harlem South,-73.94575026755157,40.79001075149546
76,Brooklyn,East New York,-73.87682061127191,40.660935196550525
77,Brooklyn,East New York/Pennsylvania Avenue,-73.89536411750329,40.66655893903528
78,Bronx,East Tremont,-73.88552181587427,40.84496041014611
79,Manhattan,East Village,-73.98593745682462,40.727620195909545
80,Brooklyn,East Williamsburg,-73.93679314491884,40.71536988214356
81,Bronx,Eastchester,-73.83664334408303,40.88093541148944
82,Queens,Elmhurst,-73.87711833280913,40.739495646778145
83,Queens,Elmhurst/Maspeth,-73.89217338112861,40.73832381382601
84,Staten Island,Eltingville/Annadale/Prince's Bay,-74.18767433468818,40.528686446566184
85,Brooklyn,Erasmus,-73.95162318261012,40.64611634689508
86,Queens,Far Rockaway,-73.755243696796,40.60243279341673
87,Manhattan,Financial District North,-74.00749598562427,40.70680845166585
88,Manhattan,Financial District South,-74.01151502922326,40.70335790323615
89,Brooklyn,Flatbush/Ditmas Park,-73.9609682490637,40.63790012347376
90,Manhattan,Flatiron,-73.99697141558364,40.74227862901228
91,Brooklyn,Flatlands,-73.93009701219945,40.62627276333646
92,Queens,Flushing,-73.82885869884261,40.76110218983439
93,Queens,Flushing Meadows-Corona Park,-73.84086726234149,40.740675872160615
94,Bronx,Fordham South,-73.89953593442154,40.858155196184065
95,Queens,Forest Hills,-73.84766941187527,40.72143227502132
96,Queens,Forest Park/Highland Park,-73.87155842518149,40.69700061310114
97,Brooklyn,Fort Greene,-73.974882086189,40.690786794210936
98,Queens,Fresh Meadows,-73.77725346665986,40.73446262820093
99,Staten Island,Freshkills Park,-74.18641851305921,40.57677363548707
100,Manhattan,Garment District,-73.98878659911529,40.75351275872571
101,Queens,Glen Oaks,-73.71102598691235,40.74599381838421
102,Queens,Glendale,-73.87573576709775,40.7035456107629
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04528829364004,40.689860103660195
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04077076873645,40.698768673626134
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.01907272636831,40.68878423861296
106,Brooklyn,Gowanus,-73.99064727363114,40.67351279686077
107,Manhattan,Gramercy,-73.98405213268919,40.73682405761897
108,Brooklyn,Gravesend,-73.98143115020055,40.588403465290384
109,Staten Island,Great Kills,-74.15088980760535,40.55186299807707
110,Staten Island,Great Kills Park,-74.12834244237268,40.54578031659563
111,Brooklyn,Green-Wood Cemetery,-73.99023450433013,40.65213727041904
112,Brooklyn,Greenpoint,-73.94954030482207,40.72950628420886
113,Manhattan,Greenwich Village North,-73.99430477051166,40.732579073027026
114,Manhattan,Greenwich Village South,-73.99738026020042,40.72834039137229
115,Staten Island,Grymes Hill/Clifton,-74.08783880974953,40.617971375889255
116,Manhattan,Hamilton Heights,-73.94852173020877,40.827012654925376
117,Queens,Hammels/Arverne,-73.78962208250086,40.594058752814014
118,Staten Island,Heartland Village/Todt Hill,-74.13297872511696,40.58655462662629
119,Bronx,Highbridge,-73.92615723620786,40.83782699169886
120,Manhattan,Highbridge Park,-73.9301821974284,40.84666774830276
121,Queens,Hillcrest/Pomonok,-73.80244428186222,40.72833332297307
122,Queens,Hollis,-73.76113699730597,40.71063928425105
123,Brooklyn,Homecrest,-73.96433367133902,40.59995429251391
124,Queens,Howard Beach,-73.84491858438535,40.65824796123061
125,Manhattan,Hudson Sq,-74.0074858180095,40.7262904102812
126,Bronx,Hunts Point,-73.88553752149434,40.81207445859209
127,Manhattan,Inwood,-73.91930823586193,40.866075000727804
128,Manhattan,Inwood Hill Park,-73.92436981716105,40.87237880957359
129,Queens,Jackson Heights,-73.88531724061083,40.75731206303919
130,Queens,Jamaica,-73.79397965822719,40.70436877745512
131,Queens,Jamaica Estates,-73.77610076139923,40.720655238749565
132,Queens,JFK Airport,-73.78653298334973,40.64698489239515
133,Brooklyn,Kensington,-73.9761989895133,40.640590070674484
134,Queens,Kew Gardens,-73.8287124659753,40.70805099798806
135,Queens,Kew Gardens Hills,-73.82119590387467,40.72837768325733
136,Bronx,Kingsbridge Heights,-73.90591118270514,40.86526419152492
137,Manhattan,Kips Bay,-73.97649472376759,40.740438978596416
138,Queens,LaGuardia Airport,-73.87362864289112,40.77437570593249
139,Queens,Laurelton,-73.74423435166719,40.67709779790901
140,Manhattan,Lenox Hill East,-73.95473878380504,40.765484087889845
141,Manhattan,Lenox Hill West,-73.9596347414917,40.76694821638323
142,Manhattan,Lincoln Square East,-73.98153220639179,40.77363329302709
143,Manhattan,Lincoln Square West,-73.98764554944388,40.775965228760995
144,Manhattan,Little Italy/NoLiTa,-73.99691854183823,40.72088889344526
145,Queens,Long Island City/Hunters Point,-73.94889145447938,40.74537943399853
146,Queens,Long Island City/Queens Plaza,-73.93482888929138,40.754242520500306
147,Bronx,Longwood,-73.89895638182651,40.81967597930491
148,Manhattan,Lower East Side,-73.99089626184735,40.71893835938027
149,Brooklyn,Madison,-73.94813559494116,40.60491359556376
150,Brooklyn,Manhattan Beach,-73.94362872180557,40.58047327426202
151,Manhattan,Manhattan Valley,-73.96816833309238,40.79796199310004
152,Manhattan,Manhattanville,-73.95378223705632,40.81797514762943
153,Manhattan,Marble Hill,-73.91037866410586,40.87596780221243
154,Brooklyn,Marine Park/Floyd Bennett Field,-73.90259658693111,40.59357083658514
155,Brooklyn,Marine Park/Mill Basin,-73.91527709386854,40.61459098927571
156,Staten Island,Mariners Harbor,-74.16723534170721,40.63130769285308
157,Queens,Maspeth,-73.90232968131372,40.723995074933526
158,Manhattan,Meatpacking/West Village West,-74.00898410478531,40.735035400696646
159,Bronx,Melrose South,-73.91284939799152,40.81825974768985
160,Queens,Middle Village,-73.88005140814958,40.71833677001376
161,Manhattan,Midtown Center,-73.97769793122406,40.75802804352625
162,Manhattan,Midtown East,-73.9723559435203,40.75668765218883
163,Manhattan,Midtown North,-73.97756868222716,40.764421405786784
164,Manhattan,Midtown South,-73.98515639467682,40.74857462935672
165,Brooklyn,Midwood,-73.956824605838,40.62092404874622
166,Manhattan,Morningside Heights,-73.96176359682917,40.809456961125264
167,Bronx,Morrisania/Melrose,-73.90235177500074,40.82751255686402
168,Bronx,Mott Haven/Port Morris,-73.91682193806456,40.80734716766525
169,Bronx,Mount Hope,-73.90512221938542,40.84905837739125
170,Manhattan,Murray Hill,-73.97849159965224,40.7477457936439
171,Queens,Murray Hill-Queens,-73.80954582099433,40.768351626308466
172,Staten Island,New Dorp/Midland Beach,-74.10501900721488,40.571768892932596
173,Queens,North Corona,-73.86303754486688,40.75257923914961
174,Bronx,Norwood,-73.87902225226023,40.87713760287661
175,Queens,Oakland Gardens,-73.75462173612374,40.74267210348265
176,Staten Island,Oakwood,-74.1225840297696,40.5619942345841
177,Brooklyn,Ocean Hill,-73.91363213611349,40.67664410104019
178,Brooklyn,Ocean Parkway South,-73.97032580128301,40.61731493715172
179,Queens,Old Astoria,-73.92833318686124,40.7715702435834
180,Queens,Ozone Park,-73.84704317269407,40.675594990706735
181,Brooklyn,Park Slope,-73.98141374048748,40.670374325917244
182,Bronx,Parkchester,-73.85798694048577,40.837748664353555
183,Bronx,Pelham Bay,-73.83158179959665,40.849172617182596
184,Bronx,Pelham Bay Park,-73.80785726631285,40.86827620354779
185,Bronx,Pelham Parkway,-73.85439380221176,40.85440471268922
186,Manhattan,Penn Station/Madison Sq West,-73.99243753697608,40.748497181405
187,Staten Island,Port Richmond,-74.14078750231764,40.62816687457197
188,Brooklyn,Prospect-Lefferts Gardens,-73.94744164500473,40.658744450856695
189,Brooklyn,Prospect Heights,-73.96758681222951,40.67763538934727
190,Brooklyn,Prospect Park,-73.96891374270628,40.661622158356835
191,Queens,Queens Village,-73.74153176997542,40.715454515305204
192,Queens,Queensboro Hill,-73.81522935845769,40.74375148543155
193,Queens,Queensbridge/Ravenswood,-73.94199705818421,40.760313635026975
194,Manhattan,Randalls Island,-73.92459630024574,40.7910007817113
195,Brooklyn,Red Hook,-74.00917849113303,40.675548862280905
196,Queens,Rego Park,-73.86333855806275,40.72615563957924
197,Queens,Richmond Hill,-73.83092407449995,40.69454235438129
198,Queens,Ridgewood,-73.90170926444726,40.706526794419574
199,Bronx,Rikers Island,-73.8826582470059,40.79113290307747
200,Bronx,Riverdale/North Riverdale/Fieldston,-73.90698710771419,40.89952906437648
201,Queens,Rockaway Park,-73.84345281477813,40.57798249377509
202,Manhattan,Roosevelt Island,-73.94995171169582,40.76189974995506
203,Queens,Rosedale,-73.73947255987297,40.6578534180194
204,Staten Island,Rossville/Woodrow,-74.20782608356566,40.540334005296096
205,Queens,Saint Albans,-73.76314612543841,40.691201446806126
206,Staten Island,Saint George/New Brighton,-74.10231250352736,40.638972205166496
207,Queens,Saint Michaels Cemetery/Woodside,-73.8993525643454,40.76398558883055
208,Bronx,Schuylerville/Edgewater Park,-73.82354011891952,40.82331858387752
209,Manhattan,Seaport,-74.00366456329897,40.7090727427931
210,Brooklyn,Sheepshead Bay,-73.94050716694062,40.592023464364296
211,Manhattan,SoHo,-74.00153756565634,40.72388811004171
212,Bronx,Soundview/Bruckner,-73.86967965711676,40.82790214858741
213,Bronx,Soundview/Castle Hill,-73.85813498781431,40.81785855770815
214,Staten Island,South Beach/Dongan Hills,-74.0855123582692,40.586786633051915
215,Queens,South Jamaica,-73.79096393223053,40.69442755408876
216,Queens,South Ozone Park,-73.8194596368276,40.67615403721377
217,Brooklyn,South Williamsburg,-73.9585968450717,40.703916440465754
218,Queens,Springfield Gardens North,-73.77303565610492,40.67208970676732
219,Queens,Springfield Gardens South,-73.7645057855823,40.66218488071141
220,Bronx,Spuyten Duyvil/Kingsbridge,-73.91066467564433,40.88240311320921
221,Staten Island,Stapleton,-74.0737044453025,40.61876927873207
222,Brooklyn,Starrett City,-73.88241292571811,40.64752703432359
223,Queens,Steinway,-73.90540773409826,40.777426920532776
224,Manhattan,Stuy Town/Peter Cooper Village,-73.97659767323343,40.73182063601676
225,Brooklyn,Stuyvesant Heights,-73.93188826440709,40.688168186954954
226,Queens,Sunnyside,-73.92467306585047,40.73769895644442
227,Brooklyn,Sunset Park East,-74.00465205914723,40.64188631576522
228,Brooklyn,Sunset Park West,-74.01127116962887,40.652354649538424
229,Manhattan,Sutton Place/Turtle Bay North,-73.96514579918421,40.75672894163307
230,Manhattan,Times Sq/Theatre District,-73.9841964890757,40.75981761719185
231,Manhattan,TriBeCa/Civic Center,-74.00787970866403,40.717772736265175
232,Manhattan,Two Bridges/Seward Park,-73.98302455833488,40.7147325069394
233,Manhattan,UN/Turtle Bay South,-73.97044256869235,40.74991407790216
234,Manhattan,Union Sq,-73.99045782354732,40.74033744175701
235,Bronx,University Heights/Morris Heights,-73.91597542466435,40.852521149263495
236,Manhattan,Upper East Side North,-73.95701169835739,40.78043643718997
237,Manhattan,Upper East Side South,-73.96563453538072,40.76861518381155
238,Manhattan,Upper West Side North,-73.97304890061595,40.79170493442709
239,Manhattan,Upper West Side South,-73.97863194845081,40.783961430313774
240,Bronx,Van Cortlandt Park,-73.88197807761944,40.894599127507
241,Bronx,Van Cortlandt Village,-73.89562001785477,40.876512375445536
242,Bronx,Van Nest/Morris Park,-73.85067057708342,40.8467828958098
243,Manhattan,Washington Heights North,-73.93283148761297,40.85710828331443
244,Manhattan,Washington Heights South,-73.94139910573641,40.841708771119784
245,Staten Island,West Brighton,-74.10286011016638,40.630049391830696
246,Manhattan,West Chelsea/Hudson Yards,-74.0040151252865,40.75330906598335
247,Bronx,West Concourse,-73.92440873264252,40.828988230484576
248,Bronx,West Farms/Bronx River,-73.87228927297001,40.83416531682759
249,Manhattan,West Village,-74.00287495910834,40.73457600733175
250,Bronx,Westchester Village/Unionport,-73.84864070062379,40.83210165963213
251,Staten Island,Westerleigh,-74.12534779829359,40.61688000771182
252,Queens,Whitestone,-73.81565681271002,40.788193016728655
253,Queens,Willets Point,-73.84124393899134,40.76063075217261
254,Bronx,Williamsbridge/Olinville,-73.8589482397575,40.88215708304705
255,Brooklyn,Williamsburg (North Side),-73.95741813122189,40.718803918129915
256,Brooklyn,Williamsburg (South Side),-73.9599046273053,40.710879933377385
257,Brooklyn,Windsor Terrace,-73.97798241330011,40.65361187133663
258,Queens,Woodhaven,-73.85576675985419,40.68872135698128
259,Bronx,Woodlawn/Wakefield,-73.8522154537012,40.897932025294686
260,Queens,Woodside,-73.9063064419788,40.74423471780148
261,Manhattan,World Trade Center,-74.01302277174902,40.70913894067186
262,Manhattan,Yorkville East,-73.94651035601464,40.77593240314994
263,Manhattan,Yorkville West,-73.951009874818,40.77876585543437
